day_index,date,price,real_price,log_return,aggregate_action,thinking_external,total_demand,active_agents,alive_agents,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random
1202,2016-04-06,138.45224965094198,216.8,-0.0007854200031411722,-0.3739130434782609,0.11361235777537028,-0.2603006857028906,123,230,0.0,0.3333333333333333,0.0,1.3333333333333333,-0.97,0.31,-1.3888888888888888
1203,2016-04-07,138.07918047786762,219.25,-0.002698206126074129,-1.017391304347826,0.12081847190856934,-0.8965728324392567,108,230,0.6666666666666666,0.3333333333333333,-0.6666666666666666,0.3333333333333333,-2.08,-0.15,-0.7222222222222222
1204,2016-04-08,138.17747752751575,229.05,0.0007116357267636602,0.12173913043478261,0.12384557723999023,0.24558470767477286,114,230,0.0,0.0,-0.6666666666666666,1.3333333333333333,0.76,-0.35,-0.8333333333333334
1205,2016-04-11,138.84798734797124,233.6,0.004840790575758469,1.5,0.1241175095240275,1.6241175095240274,113,230,1.3333333333333333,1.0,0.0,1.6666666666666667,2.49,0.79,0.2777777777777778
1206,2016-04-12,139.54481576963244,233.55,0.0050060911713393,1.5565217391304347,0.1233810822168986,1.6799028213473333,118,230,1.0,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.07,1.25,0.2777777777777778
1207,2016-04-13,139.98977935951123,231.3,0.0031836057035788032,0.9521739130434783,0.12344486713409424,1.0756187801775725,114,230,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.71,1.27,0.2777777777777778
1208,2016-04-18,140.15761331006374,233.5,0.0011981833493598674,0.2782608695652174,0.12563512325286866,0.4038959928180861,119,230,0.3333333333333333,2.3333333333333335,-0.3333333333333333,0.3333333333333333,-0.54,0.98,0.6666666666666666
1209,2016-04-20,140.62841762592547,229.35,0.0033534770622799656,1.008695652173913,0.12556865215301513,1.134264304326928,121,230,0.3333333333333333,2.0,1.0,1.0,1.17,1.04,-0.1111111111111111
1210,2016-04-21,140.65988029573765,230.1,0.00022370407994820344,-0.05217391304347826,0.1252101977666219,0.07303628472314364,119,230,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,-1.17,0.81,0.2777777777777778
1211,2016-04-22,140.88911114473393,231.8,0.0016283553244125393,0.4217391304347826,0.13021241823832194,0.5519515486731046,111,230,1.0,1.0,-0.6666666666666666,1.3333333333333333,0.33,0.65,-0.5
1212,2016-04-25,141.34169611511072,229.1,0.0032072002536975013,0.9652173913043478,0.12844776312510173,1.0936651544294496,121,230,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.02,0.92,1.1666666666666667
1213,2016-04-26,141.49176887221844,241.25,0.0010612094378459763,0.23043478260869565,0.12771271069844564,0.3581474933071413,113,230,0.3333333333333333,2.6666666666666665,0.0,2.3333333333333335,-0.6,0.73,1.3333333333333333
1214,2016-04-27,142.3740990239794,235.45,0.006216548680573266,1.991304347826087,0.13334946632385253,2.1246538141499394,125,230,1.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,3.04,1.33,0.3888888888888889
1215,2016-04-28,142.5908199473823,238.2,0.0015210361048517288,0.3782608695652174,0.1424633026123047,0.5207241721775221,127,230,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,-1.21,1.74,1.0555555555555556
1216,2016-04-29,143.08458797486125,232.95,0.003456850015708527,1.0434782608695652,0.14480889638264974,1.188287157252215,112,230,1.0,2.0,-0.3333333333333333,0.3333333333333333,1.29,0.98,0.2222222222222222
1217,2016-05-02,143.07812546342126,235.5,-4.516669109988034e-05,-0.16521739130434782,0.14661645889282227,-0.01860093241152555,109,230,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,-1.2,0.85,-0.7222222222222222
1218,2016-05-03,143.49617740911927,208.25,0.002917583593894944,0.8478260869565217,0.15180179278055828,0.99962787973708,133,230,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.17,0.72,-0.16666666666666666
1219,2016-05-04,142.91207072764456,198.0,-0.004078845459854554,-1.5695652173913044,0.16731677055358887,-1.4022484468377154,108,230,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-2.77,-1.13,1.2777777777777777
1220,2016-05-05,142.09307246443984,194.55,-0.0057472683362688815,-2.1652173913043478,0.1870303471883138,-1.978187044116034,120,230,0.0,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-2.58,-2.14,-1.2222222222222223
1221,2016-05-06,141.39570002343768,196.75,-0.004919939802813047,-1.891304347826087,0.2137524922688802,-1.6775518555572067,113,230,-0.3333333333333333,1.0,-0.6666666666666666,0.6666666666666666,-1.76,-2.59,-0.1111111111111111
1222,2016-05-09,141.21475516924298,194.55,-0.0012805250166460687,-0.6782608695652174,0.24200623830159504,-0.4362546312636223,115,230,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.37,-2.17,1.3888888888888888
1223,2016-05-10,140.6966470859305,193.0,-0.0036756843639480347,-1.5217391304347827,0.26996603012084963,-1.2517731003139332,112,230,0.0,0.3333333333333333,0.0,1.3333333333333333,-1.19,-2.42,0.3333333333333333
1224,2016-05-11,140.13229172195378,195.15,-0.0040192162965345096,-1.6652173913043478,0.29952510197957355,-1.3656922893247743,128,230,0.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,-1.47,-2.45,-0.2222222222222222
1225,2016-05-12,139.97642199975513,188.55,-0.0011129231662662439,-0.7,0.3254767100016276,-0.37452328999837237,116,230,2.0,2.0,1.6666666666666667,-1.0,0.52,-2.3,0.16666666666666666
1226,2016-05-13,139.2259015825864,185.8,-0.005376188960425976,-2.1608695652173915,0.3518024126688639,-1.8090671525485276,114,230,1.0,0.3333333333333333,2.0,0.0,-1.96,-3.01,-0.5555555555555556
1227,2016-05-16,138.58717272814363,183.25,-0.004598271564236061,-1.9086956521739131,0.37247352600097655,-1.5362221261729365,118,230,1.0,0.6666666666666666,2.3333333333333335,0.0,-1.73,-2.75,-0.16666666666666666
1228,2016-05-17,137.98430204423425,183.2,-0.0043596082297435905,-1.8478260869565217,0.3919375737508138,-1.455888513205708,110,230,1.0,1.6666666666666667,0.3333333333333333,0.0,-1.93,-2.3,-0.6111111111111112
1229,2016-05-18,137.41952093385117,171.55,-0.004101481933052464,-1.7652173913043478,0.40935738881429035,-1.3558600024900576,132,230,1.0,1.3333333333333333,1.0,1.0,-0.56,-3.64,0.05555555555555555
1230,2016-05-19,136.58123619948157,177.95,-0.006118868857338781,-2.4478260869565216,0.423623530069987,-2.0242025568865345,110,230,1.0,1.0,3.3333333333333335,1.0,-2.77,-3.05,0.0
1231,2016-05-20,136.5987505668132,181.1,0.0001282258452602988,-0.391304347826087,0.43328380584716797,0.041979458021080995,118,230,0.6666666666666666,2.6666666666666665,1.0,0.0,1.89,-2.82,-0.5555555555555556
1232,2016-05-23,136.55034105638646,180.85,-0.00035445485574138615,-0.5565217391304348,0.4431736628214518,-0.11334807630898297,118,230,2.6666666666666665,2.3333333333333335,2.6666666666666665,-1.0,1.24,-2.67,-0.2777777777777778
1233,2016-05-24,136.24698749655911,182.85,-0.0022240224013605273,-1.1869565217391305,0.45176932017008464,-0.7351872015690458,121,230,2.0,4.0,1.6666666666666667,1.3333333333333333,-0.35,-2.55,-0.5555555555555556
1234,2016-05-25,136.017726387262,184.8,-0.0016841048567239265,-1.017391304347826,0.4617037137349447,-0.5556875906128813,119,230,2.3333333333333335,1.3333333333333333,1.0,1.3333333333333333,0.62,-2.98,-0.8888888888888888
