agent_id,type,horizon,final_wealth,return_pct,trades
186,value,,2110321.701585726,111.03217015857258,695
108,momentum,,2098891.761288734,109.88917612887343,768
16,momentum,,2093518.228924043,109.35182289240429,814
156,value,,2083514.4356862966,108.35144356862965,822
137,value,,2071755.9990375321,107.17559990375322,793
154,value,,2066674.0076554632,106.66740076554633,687
138,value,,2045488.932114456,104.5488932114456,766
42,momentum,,2035366.41268863,103.53664126886298,764
52,momentum,,2031858.0970770754,103.18580970770755,811
158,value,,2031017.7673701914,103.10177673701912,797
226,random,,1992376.282795795,99.2376282795795,850
194,value,,1973907.0366624277,97.39070366624276,805
133,value,,1966126.9654718235,96.61269654718234,749
78,momentum,,1926271.8402979535,92.62718402979534,727
49,momentum,,1881464.5649434002,88.14645649434003,738
165,value,,1845633.8904754478,84.56338904754477,784
7,cnn,30.0,1781131.5564761986,78.11315564761986,769
181,value,,1767175.0720150715,76.71750720150716,768
159,value,,1764490.2521433532,76.44902521433532,723
151,value,,1665235.208753742,66.5235208753742,762
6,cnn,15.0,1652753.7451077483,65.27537451077482,774
68,momentum,,1585797.760447301,58.5797760447301,757
210,value,,1562719.8887289194,56.27198887289195,709
147,value,,1561022.7089123344,56.10227089123343,786
218,random,,1554058.3064765148,55.40583064765148,858
103,momentum,,1547092.9177139036,54.70929177139037,806
106,momentum,,1545807.2776530092,54.58072776530092,781
172,value,,1525982.631241329,52.59826312413289,732
29,momentum,,1524339.2200659567,52.433922006595665,698
208,value,,1505229.4814561163,50.52294814561162,835
5,gru,45.0,1501873.3785028283,50.18733785028282,821
94,momentum,,1493125.7861970372,49.31257861970373,817
216,random,,1489637.6194269424,48.96376194269425,837
21,momentum,,1460949.3040291474,46.09493040291475,783
125,value,,1460404.6130469851,46.040461304698525,813
67,momentum,,1459273.0618040226,45.92730618040226,757
188,value,,1448560.0337291094,44.85600337291093,801
184,value,,1445151.549764636,44.51515497646359,707
77,momentum,,1427855.7384323024,42.78557384323023,772
168,value,,1414744.1231847017,41.47441231847016,758
214,random,,1408064.1884196377,40.80641884196376,796
123,value,,1405191.0791786138,40.519107917861376,807
36,momentum,,1404155.6990216137,40.41556990216137,691
3,gru,15.0,1398021.7681111002,39.80217681111002,777
149,value,,1395628.5433147603,39.56285433147604,801
124,value,,1392341.290181789,39.23412901817891,817
143,value,,1389484.0649861945,38.94840649861946,731
91,momentum,,1368379.110472145,36.8379110472145,814
23,momentum,,1365818.5908279996,36.58185908279996,812
112,value,,1361395.891501337,36.13958915013371,762
17,momentum,,1357320.8812427784,35.73208812427784,765
117,value,,1349503.3998440034,34.95033998440034,821
70,momentum,,1348603.1405373802,34.860314053738016,801
144,value,,1344304.6745420108,34.430467454201086,811
107,momentum,,1343945.8346708328,34.39458346708329,805
84,momentum,,1339431.7951081581,33.943179510815824,673
160,value,,1335477.9396124831,33.54779396124832,848
170,value,,1334449.953335753,33.4449953335753,811
76,momentum,,1323869.2644279914,32.38692644279912,772
101,momentum,,1317064.9241346768,31.70649241346768,768
93,momentum,,1305701.5857156462,30.57015857156462,705
48,momentum,,1303916.6988255328,30.391669882553284,819
206,value,,1285541.3304558746,28.55413304558745,691
176,value,,1277109.4190929432,27.710941909294327,804
199,value,,1274419.103014674,27.44191030146741,770
198,value,,1261469.947136354,26.146994713635397,790
33,momentum,,1258172.3664358621,25.817236643586217,798
191,value,,1245237.1341915033,24.52371341915034,790
75,momentum,,1233230.9923169522,23.32309923169522,769
122,value,,1231211.0280046603,23.12110280046602,800
146,value,,1230188.8345964397,23.01888345964398,838
219,random,,1221129.9839385613,22.11299839385612,833
1,lstm,30.0,1214935.8718188154,21.493587181881544,786
126,value,,1214809.8197226368,21.48098197226369,812
190,value,,1214651.8960384429,21.465189603844294,675
227,random,,1212316.0042193402,21.231600421934015,812
38,momentum,,1197612.2308182707,19.76122308182706,804
79,momentum,,1192701.8989633615,19.270189896336156,805
204,value,,1158394.1149307417,15.839411493074174,831
153,value,,1138146.8716461835,13.814687164618356,836
111,momentum,,1135820.839057187,13.582083905718711,780
2,lstm,45.0,1127889.9924774773,12.788999247747723,702
110,momentum,,1124654.0700083205,12.465407000832052,784
65,momentum,,1113239.3099293709,11.323930992937093,823
179,value,,1107183.8249950083,10.718382499500834,768
63,momentum,,1096954.0262804485,9.695402628044846,861
11,mlp,45.0,1094191.4254551341,9.419142545513415,727
185,value,,1091746.4015712226,9.17464015712226,781
141,value,,1086986.012958209,8.698601295820897,812
177,value,,1077322.4133846147,7.732241338461465,789
128,value,,1076492.474253702,7.649247425370187,816
127,value,,1075512.4286893003,7.55124286893003,829
61,momentum,,1070055.5875033604,7.005558750336038,839
99,momentum,,1068270.0406968833,6.827004069688325,789
178,value,,1063226.3341164745,6.322633411647449,817
118,value,,1060263.698841866,6.026369884186611,742
83,momentum,,1057170.3700513649,5.717037005136483,745
18,momentum,,1047789.2202590609,4.778922025906085,757
175,value,,1007523.0014857878,0.7523001485787884,756
57,momentum,,1007209.9800917284,0.7209980091728463,768
130,value,,1005316.3981865703,0.5316398186570259,719
205,value,,1001857.7240291687,0.1857724029168617,737
