local_day,day_index,date,price,real_price,log_return,aggregate_action,total_demand,active_agents,alive_agents,best_bid,best_ask,spread,mid_price,num_fills,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random,mean_action_band_low,mean_action_band_mid,mean_action_band_high
20,639,2013-12-20,177.7168243213469,161.95,0.003256899489598745,0.7133333333333334,0.7133333333333334,141,300,177.13896002069728,177.13896002069728,0.0,177.13896002069728,0,0.3333333333333333,1.8888888888888888,1.5555555555555556,1.5555555555555556,-1.16,2.7,0.1875,1.5,1.0,1.5
21,640,2013-12-23,178.74918713099527,159.3,0.005792225136662771,0.85,0.85,159,300,177.7168243213469,177.7168243213469,0.0,177.7168243213469,0,-0.1111111111111111,0.2222222222222222,1.1111111111111112,0.8888888888888888,-0.88,3.29,-0.078125,0.5833333333333334,0.6666666666666666,0.3333333333333333
22,641,2013-12-24,179.73255474131747,159.95,0.005486304946863701,0.7266666666666667,0.7266666666666667,141,300,178.74918713099527,178.74918713099527,0.0,178.74918713099527,0,0.3333333333333333,1.1111111111111112,1.3333333333333333,0.5555555555555556,-1.0,2.7,0.28125,0.5,0.8333333333333334,1.1666666666666667
23,642,2013-12-26,180.91080120887105,160.0,0.006534159802129079,1.1366666666666667,1.1366666666666667,148,300,179.73255474131747,179.73255474131747,0.0,179.73255474131747,0,0.1111111111111111,0.7777777777777778,2.2222222222222223,0.4444444444444444,0.27,2.72,0.15625,0.75,0.9166666666666666,1.0
24,643,2013-12-27,181.97440424256882,157.05,0.005861942362917644,0.9433333333333334,0.9433333333333334,140,300,180.91080120887105,180.91080120887105,0.0,180.91080120887105,0,0.5555555555555556,0.4444444444444444,1.2222222222222223,0.6666666666666666,0.04,2.56,-0.046875,0.9166666666666666,0.5,0.75
25,644,2013-12-30,181.67932364783277,155.4,-0.001622866132628549,0.14333333333333334,0.14333333333333334,147,300,181.97440424256882,181.97440424256882,0.0,181.97440424256882,0,0.1111111111111111,0.2222222222222222,1.0,1.2222222222222223,-1.25,1.23,0.34375,0.5,0.3333333333333333,1.0833333333333333
26,645,2013-12-31,181.43269714400435,156.3,-0.0013584047215778876,-0.6033333333333334,-0.6033333333333334,156,300,181.67932364783277,181.67932364783277,0.0,181.67932364783277,0,0.0,-0.1111111111111111,1.7777777777777777,0.4444444444444444,-1.16,-0.99,0.234375,0.3333333333333333,0.4166666666666667,0.8333333333333334
27,646,2014-01-01,181.49797723618295,152.65,0.00035973863600297686,-0.16666666666666666,-0.16666666666666666,164,300,181.43269714400435,181.43269714400435,0.0,181.43269714400435,0,-0.1111111111111111,-1.0,1.0,0.7777777777777778,-0.29,-0.15,-0.1875,0.25,-0.16666666666666666,0.4166666666666667
28,647,2014-01-02,180.25942988586527,149.9,-0.006847418547671553,-1.3933333333333333,-1.3933333333333333,150,300,181.49797723618295,181.49797723618295,0.0,181.49797723618295,0,-0.1111111111111111,-0.5555555555555556,1.6666666666666667,1.3333333333333333,-1.51,-2.75,-0.203125,0.8333333333333334,0.4166666666666667,0.5
29,648,2014-01-03,177.97539896880872,150.85,-0.012751757690831563,-1.86,-1.86,158,300,180.25942988586527,180.25942988586527,0.0,180.25942988586527,0,-0.6666666666666666,-0.7777777777777778,0.5555555555555556,0.5555555555555556,-1.81,-3.76,0.03125,0.08333333333333333,0.0,-0.3333333333333333
